Fiddler (noun); Violinist, Musician.;;I heard the fiddler plucking at his strings.;https://www.youtube.com/watch?v=D098vaXqr4Y&ab_channel=HowtoPronounce;
Fiddly (adjective);;Difficult to do because the parts involved are small.;Repairing a watch is a very fiddly job.;https://www.youtube.com/watch?v=Ny3dSOuDD9k&ab_channel=HowtoPronounce;
Fidget (verb); Sudden movement, Making short.;;Children can't sit still for long without fidgeting.;https://www.youtube.com/watch?v=OgJlhnEFUdU&ab_channel=EmmaSaying;
Field day ( noun); Classes, Courses.;;And by now the School had begun to suspect that the field days were conducted.;;
 Field hockey (Noun); Shinny, Hockey;;Certainly, field hockey will have a nice home in Bangladesh.;;
Field marshal (Noun); Ranks in the army, Marshall;; In British army a field marshal ranks above a general.;;
Fielder (Noun); Fieldsman, Outfielder.;;The fielder muffed an easy catch.;https://www.youtube.com/watch?v=CMk6A7Pei7w&ab_channel=PronunciationGuide;
Fiend (Noun);Devil, Unpleasant person.;;He was portrayed in the media as a complete fiend.;https://www.youtube.com/watch?v=X4JAPGFb6tI&ab_channel=EmmaSaying;
Fierce (Adjective); Furious, Violent.;;The lion is not so fierce as he is painted.;https://www.youtube.com/watch?v=S28xSxFlM_8&ab_channel=PronounceIt;
Fiery (ADjective); Igneous, Hot.;;The sun was now sinking, a fiery ball of light in the west.;https://www.youtube.com/watch?v=Fyt1sb9HPcI&ab_channel=EmmaSaying;
Fifty-fifty;Fractions, Half;;They divided the prize fifty-fifty.;;
Fig (Noun);Illustrarion, Figure.;;Compare the two illustrations in Fig 60;https://www.youtube.com/watch?v=jI0_6sp8Kfw&ab_channel=PronunciationDictionary;
Fight a losing battle (idiom);;To try hard to do something when there is no chance that you will succeed.;The police are fighting a losing battle against a rising tide of crime.;;
Fight back;;To defend yourself when someone attacks you physically.;He fought back and managed to wrestle the knife from his attacker's hands.;;
Figment (Noun);Thought,Idea;;Was it just a figment of my imagination or did I hear John's voice in the other room?;https://www.youtube.com/watch?v=2slN35Jd06E&ab_channel=Words101;
Figurative (adjective);Extended, Metaphorical.;;Of course, she was using the term "massacre" in the figurative sense.;https://www.youtube.com/watch?v=_gGvFNlasGM&ab_channel=PronunciationGuide;
In single/double figures;;between 1 and 9/between 10 and 99.;The unemployment rate is now in double figures.;;
A fine figure of a man/woman;;a person who is tall, with a large, physically attractive body.; Sameer had a fine figure.;;
Put a finger on it;Cost, Figure.;;I'm sure we'll make a good profit, but I couldn't put a figure on it.;;
Figure (Expect); Estimate, Calculate.;;We figured (that) you'd want to rest after your trip.;;
Figure (Appear);;To be, appear, take part, or be included in something.;Their names did not figure in the list of finalists;https://www.youtube.com/watch?v=GVcHmEUvT9k&ab_channel=PronounceIt;
Go figure!;;Used when you tell someone a fact and you then want to say that the fact is surprising, strange or stupid.;It's a terrible movie and it made $200 million. Go figure!;;
It figures;;Used to say that you are not surprised by something unpleasant that has happened.;Dad, Sadie spilled her milk all over the floor." "It figures.;;
Figure something/somebody out;;To finally understand something or someone, or find the solution to a problem after a lot of thought.;I find him really odd - I can't figure him out at all.;;
Word -Figurehead (Person);Sticker, Frontman;;The president of this company is just a figurehead - the Chief Executive has day-to-day control.;https://www.youtube.com/watch?v=mujD9-J-scQ&ab_channel=PronunciationAcademy;
Figurehead (Model);;a painted model, usually of a person, that in the past was attached to the front of a ship;;https://www.youtube.com/watch?v=mujD9-J-scQ&ab_channel=PronunciationAcademy;
Figure of eight; Patterns, Shapes.;;She skated a perfect figure of eight.;;
Figure of fun;Stupid, Silly people.;;Akbar is a figure of fun;;
Figure skating;;A type of skating that involves circular patterns and often includes jumps.;Aleya is good in figure skating.;;
Figurine;Sculpture, Statue.;; This head once formed part of a small figurine carved from mammoth ivory.;https://www.youtube.com/watch?v=YEAZrVtH4P4&ab_channel=PronunciationGuide;
Filament;Wire, Conducting wire.;;A tungsten filament.;https://www.youtube.com/watch?v=TUoo4tpM57U&ab_channel=OxfordDictionaries;
Filbert;Hazelnut, Cobnut;;Nut trees such as filbert, hazelnut and yellowhorn produce well with only sun in the morning.;https://www.youtube.com/watch?v=y8Gd1wWofJc&ab_channel=HowToPronounce85;
Filch;Stealing, To take away.;;Who's filched my pencils?;https://www.youtube.com/watch?v=Efso7eQDBtg&ab_channel=PronunciationGuide;
File for something;;To make an official request for something such as divorce or bankruptcy.;Alisha want to file for divorce.;;
Filial;;Of a son or daughter.; An impoverished family can call forth a filial son.;https://www.youtube.com/watch?v=mYyjDdl3KFo&ab_channel=PronunciationGuide;
Filibuster; Delay, Holdup;;Senator Seymour has threatened a filibuster to block the bill.;https://www.youtube.com/watch?v=EEVvHKFMpRQ&ab_channel=PronunciationAcademy;
Filigree;;Delicate jewellery made from twisted, especially silver, wire.;A beautiful filigree brooch.;https://www.youtube.com/watch?v=4Xz5DOXhDO4&ab_channel=Words101;
Filings (Metal);;;Iron filings.;https://www.youtube.com/watch?v=O9If41ho6ds&ab_channel=PronunciationGuide;
Filler;;A substance that is used to fill small holes and cracks, especially in wood and walls.;Fill small holes with wood filler in a matching colour.;https://www.youtube.com/watch?v=gGXO-F6a-uI&ab_channel=PronounceNames;
Fillip;;Something that causes a sudden improvement.;The athletics win provided a much-needed fillip to/for national pride.;https://www.youtube.com/watch?v=t2dQsu92xao&ab_channel=HowToPronounce44;
