word,synonym,meaning,example,video,
Fiddler (noun),"Violinist, Musician.",No Meaning Available,I heard the fiddler plucking at his strings.,https://www.youtube.com/embed/D098vaXqr4Y,
Fiddly (adjective),No Synonym Available,Difficult to do because the parts involved are small.,Repairing a watch is a very fiddly job.,https://www.youtube.com/embed/Ny3dSOuDD9k,
Fidget (Verb),"Sudden movement, Making short.",No Meaning Available,Children can't sit still for long without fidgeting.,https://www.youtube.com/embed/OgJlhnEFUdU,
Field day (Noun),"Classes, Courses.",No Meaning Available,And by now the School had begun to suspect that the field days were conducted.,,
Field hockey (Noun),"Shinny, Hockey",No Meaning Available,"Certainly, field hockey will have a nice home in Bangladesh.",,
Field marshal (Noun),"Ranks in the army, Marshall",No Meaning Available,In British army a field marshal ranks above a general.,,
Fielder (Noun),"Fieldsman, Outfielder.",No Meaning Available,The fielder muffed an easy catch.,https://www.youtube.com/embed/CMk6A7Pei7w,
Fiend (Noun),"Devil, Unpleasant person.",No Meaning Available,He was portrayed in the media as a complete fiend.,https://www.youtube.com/embed/X4JAPGFb6tI,
Fierce (Adjective),"Furious, Violent.",No Meaning Available,The lion is not so fierce as he is painted.,https://www.youtube.com/embed/S28xSxFlM_8,
Fiery (Adjective),"Igneous, Hot.",No Meaning Available,"The sun was now sinking, a fiery ball of light in the west.",https://www.youtube.com/embed/Fyt1sb9HPcI,
Fifty-fifty,"Fractions, Half",No Meaning Available,They divided the prize fifty-fifty.,,
Fig (Noun),"Illustrarion, Figure.",No Meaning Available,Compare the two illustrations in Fig 60,https://www.youtube.com/embed/jI0_6sp8Kfw,
Fight a losing battle (idiom),No Synonym Available,To try hard to do something when there is no chance that you will succeed.,The police are fighting a losing battle against a rising tide of crime.,,
Fight back,No Synonym Available,To defend yourself when someone attacks you physically.,He fought back and managed to wrestle the knife from his attacker's hands.,,
Figment (Noun),"Thought,Idea",No Meaning Available,Was it just a figment of my imagination or did I hear John's voice in the other room?,https://www.youtube.com/embed/2slN35Jd06E,
Figurative (adjective),"Extended, Metaphorical.",No Meaning Available,"Of course, she was using the term ""massacre"" in the figurative sense.",,
In single/double figures,No Synonym Available,between 1 and 9/between 10 and 99.,The unemployment rate is now in double figures.,,
A fine figure of a man/woman,No Synonym Available,"a person who is tall, with a large, physically attractive body.",Sameer had a fine figure.,,
Put a finger on it,"Cost, Figure.",No Meaning Available,"I'm sure we'll make a good profit, but I couldn't put a figure on it.",,
Figure (Expect),"Estimate, Calculate",No Meaning Available,We figured (that) you'd want to rest after your trip.,,
Figure (Appear),No Synonym Available,"To be, appear, take part, or be included in something.",Their names did not figure in the list of finalists,https://www.youtube.com/embed/GVcHmEUvT9k,
Go figure!,No Synonym Available,"Used when you tell someone a fact and you then want to say that the fact is surprising, strange or stupid.",It's a terrible movie and it made $200 million. Go figure!,,
It figures,No Synonym Available,Used to say that you are not surprised by something unpleasant that has happened.,"Dad, Sadie spilled her milk all over the floor."" ""It figures.",,
Figure something/somebody out,No Synonym Available,"To finally understand something or someone, or find the solution to a problem after a lot of thought.",I find him really odd - I can't figure him out at all.,,
Figurehead (Person),"Sticker, Frontman",No Meaning Available,The president of this company is just a figurehead - the Chief Executive has day-to-day control.,https://www.youtube.com/embed/mujD9-J-scQ,
